iter	Passed	Remaining
0	197	197032
1	200	99849
2	202	67326
3	204	51015
4	208	41527
5	210	34935
6	212	30214
7	215	26677
8	217	23930
9	219	21728
10	223	20073
11	225	18564
12	227	17261
13	228	16111
14	230	15117
15	231	14243
16	232	13472
17	234	12788
18	236	12224
19	238	11686
20	239	11183
21	241	10730
22	242	10311
23	244	9929
24	245	9578
25	246	9251
26	248	8950
27	249	8671
28	252	8461
29	254	8215
30	255	7987
31	256	7771
32	258	7570
33	259	7382
34	261	7202
35	262	7032
36	264	6871
37	266	6744
38	268	6606
39	269	6471
40	271	6339
41	272	6216
42	273	6098
43	275	5987
44	277	5885
45	278	5779
46	281	5698
47	283	5613
48	284	5519
49	285	5430
50	287	5344
51	288	5261
52	289	5181
53	291	5105
54	292	5030
55	294	4958
56	296	4910
57	298	4844
58	299	4779
59	300	4715
60	302	4655
61	303	4595
62	305	4540
63	306	4485
64	308	4431
65	309	4379
66	311	4340
67	313	4291
68	314	4243
69	315	4196
70	317	4150
71	318	4106
72	320	4063
73	321	4021
74	322	3980
75	324	3942
76	326	3913
77	327	3875
78	329	3838
79	330	3802
80	331	3766
81	333	3732
82	334	3691
83	335	3658
84	336	3626
85	338	3594
86	339	3567
87	341	3537
88	342	3507
89	344	3478
90	345	3451
91	347	3425
92	349	3410
93	351	3384
94	352	3357
95	353	3332
96	355	3307
97	356	3282
98	357	3257
99	359	3234
100	360	3210
101	362	3188
102	364	3175
103	366	3153
104	367	3131
105	368	3110
106	370	3089
107	371	3068
108	372	3048
109	374	3028
110	375	3008
111	377	2989
112	379	2978
113	380	2959
114	382	2944
115	384	2929
116	385	2913
117	387	2899
118	389	2887
119	391	2870
120	394	2863
121	395	2846
122	396	2829
123	398	2813
124	399	2797
125	401	2781
126	402	2764
127	403	2748
128	404	2733
129	406	2718
130	408	2711
131	410	2698
132	411	2683
133	413	2669
134	414	2655
135	415	2641
136	417	2627
137	418	2613
138	419	2600
139	421	2587
140	424	2585
141	425	2569
142	426	2556
143	427	2544
144	429	2531
145	430	2519
146	432	2507
147	433	2494
148	434	2483
149	436	2471
150	439	2472
151	441	2462
152	442	2451
153	444	2441
154	445	2431
155	447	2421
156	449	2412
157	450	2401
158	453	2396
159	454	2387
160	455	2374
161	457	2364
162	458	2353
163	459	2343
164	461	2333
165	462	2323
166	463	2313
167	465	2303
168	467	2298
169	469	2290
170	470	2280
171	471	2271
172	473	2262
173	474	2253
174	476	2244
175	477	2235
176	478	2226
177	480	2217
178	482	2213
179	484	2205
180	485	2196
181	486	2187
182	488	2179
183	489	2170
184	490	2162
185	492	2153
186	493	2145
187	494	2137
188	497	2134
189	498	2127
190	500	2119
191	501	2111
192	503	2103
193	504	2096
194	505	2088
195	507	2080
196	508	2073
197	509	2065
198	512	2062
199	513	2055
200	515	2048
201	516	2040
202	518	2034
203	519	2028
204	521	2022
205	522	2015
206	524	2008
207	525	2002
208	527	1997
209	529	1991
210	531	1985
211	532	1979
212	534	1973
213	535	1967
214	537	1961
215	538	1954
216	539	1948
217	542	1945
218	543	1938
219	545	1932
220	546	1926
221	547	1919
222	549	1913
223	550	1907
224	552	1901
225	553	1895
226	554	1889
227	557	1886
228	558	1880
229	559	1874
230	561	1868
231	562	1862
232	564	1858
233	565	1852
234	567	1846
235	568	1840
236	570	1837
237	572	1832
238	573	1826
239	574	1820
240	576	1815
241	577	1809
242	579	1804
243	580	1798
244	582	1793
245	583	1788
246	586	1788
247	587	1782
248	589	1777
249	590	1772
250	592	1767
251	593	1762
252	595	1757
253	596	1751
254	597	1746
255	599	1742
256	601	1739
257	603	1734
258	604	1729
259	605	1724
260	607	1719
261	608	1714
262	609	1709
263	611	1704
264	612	1699
265	615	1697
266	616	1693
267	618	1688
268	619	1684
269	621	1679
270	622	1674
271	623	1669
272	625	1664
273	626	1660
274	628	1656
275	630	1654
276	632	1651
277	634	1647
278	636	1644
279	637	1640
280	639	1635
281	641	1633
282	643	1630
283	645	1628
284	647	1624
285	648	1619
286	650	1615
287	651	1610
288	652	1606
289	654	1602
290	655	1597
291	657	1593
292	659	1592
293	661	1587
294	662	1583
295	663	1579
296	665	1574
297	666	1570
298	668	1566
299	669	1562
300	670	1558
301	672	1554
302	674	1551
303	676	1549
304	678	1545
305	679	1541
306	681	1537
307	682	1533
308	683	1529
309	685	1524
310	686	1520
311	689	1519
312	690	1515
313	691	1511
314	693	1507
315	694	1503
316	696	1499
317	697	1495
318	698	1491
319	700	1487
320	701	1483
321	703	1482
322	705	1478
323	706	1474
324	708	1470
325	709	1467
326	711	1463
327	712	1460
328	714	1456
329	715	1452
330	717	1449
331	718	1446
332	720	1443
333	722	1440
334	723	1436
335	725	1433
336	727	1430
337	729	1427
338	730	1424
339	732	1422
340	734	1418
341	735	1415
342	736	1411
343	738	1407
344	739	1404
345	741	1400
346	742	1398
347	744	1395
348	748	1396
349	750	1393
350	751	1389
351	752	1385
352	754	1382
353	755	1378
354	757	1375
355	758	1371
356	759	1368
357	762	1366
358	763	1363
359	765	1360
360	766	1356
361	767	1353
362	769	1350
363	770	1346
364	772	1343
365	773	1339
366	774	1336
367	777	1334
368	778	1331
369	780	1328
370	781	1324
371	783	1321
372	784	1318
373	785	1315
374	787	1311
375	788	1308
376	790	1305
377	792	1303
378	793	1300
379	795	1297
380	796	1294
381	797	1290
382	799	1287
383	800	1284
384	802	1281
385	803	1278
386	806	1277
387	807	1274
388	809	1271
389	810	1268
390	812	1264
391	813	1262
392	815	1258
393	816	1255
394	817	1252
395	819	1249
396	821	1248
397	823	1245
398	825	1242
399	826	1239
400	828	1236
401	829	1234
402	831	1231
403	833	1228
404	835	1226
405	836	1224
406	838	1221
407	839	1218
408	840	1215
409	842	1211
410	843	1208
411	845	1205
412	846	1202
413	847	1199
414	849	1197
415	851	1195
416	852	1192
417	854	1189
418	855	1186
419	856	1183
420	858	1180
421	859	1177
422	861	1174
423	862	1171
424	864	1169
425	866	1167
426	867	1164
427	868	1161
428	870	1158
429	871	1155
430	873	1152
431	876	1152
432	880	1152
433	881	1149
434	883	1147
435	884	1144
436	886	1141
437	887	1139
438	889	1136
439	890	1133
440	892	1130
441	893	1128
442	895	1126
443	897	1123
444	898	1120
445	899	1117
446	901	1115
447	902	1112
448	904	1109
449	905	1106
450	906	1103
451	908	1101
452	910	1099
453	911	1096
454	913	1094
455	915	1091
456	916	1089
457	918	1086
458	919	1083
459	920	1081
460	922	1078
461	924	1076
462	926	1074
463	927	1071
464	929	1068
465	930	1066
466	931	1063
467	933	1060
468	934	1058
469	936	1055
470	937	1052
471	939	1051
472	941	1048
473	942	1045
474	943	1043
475	945	1040
476	946	1037
477	947	1035
478	949	1032
479	950	1029
480	952	1027
481	954	1025
482	955	1023
483	957	1020
484	958	1017
485	960	1015
486	961	1012
487	962	1010
488	964	1007
489	965	1004
490	967	1003
491	969	1001
492	971	999
493	972	996
494	974	993
495	975	991
496	976	988
497	978	986
498	979	983
499	980	980
500	983	979
501	985	977
502	986	974
503	987	972
504	989	969
505	990	967
506	991	964
507	993	961
508	994	959
509	995	956
510	998	955
511	1000	953
512	1001	950
513	1002	948
514	1004	945
515	1005	943
516	1007	940
517	1008	938
518	1009	935
519	1011	933
520	1013	931
521	1015	929
522	1016	927
523	1018	924
524	1020	923
525	1021	920
526	1023	918
527	1024	916
528	1027	914
529	1029	912
530	1030	910
531	1031	907
532	1033	905
533	1034	902
534	1035	900
535	1037	897
536	1038	895
537	1039	892
538	1042	891
539	1043	889
540	1045	886
541	1046	884
542	1047	881
543	1049	879
544	1050	877
545	1052	874
546	1053	872
547	1054	869
548	1057	868
549	1058	866
550	1060	863
551	1061	861
552	1062	859
553	1064	856
554	1065	854
555	1067	852
556	1068	849
557	1069	847
558	1072	845
559	1073	843
560	1075	841
561	1076	839
562	1077	836
563	1079	834
564	1080	832
565	1082	829
566	1083	827
567	1084	825
568	1087	823
569	1088	821
570	1090	818
571	1091	816
572	1093	814
573	1094	812
574	1095	810
575	1097	807
576	1098	805
577	1100	803
578	1102	801
579	1103	799
580	1105	797
581	1107	795
582	1110	794
583	1112	792
584	1114	790
585	1117	789
586	1118	787
587	1119	784
588	1121	782
589	1122	780
590	1123	777
591	1125	775
592	1126	773
593	1128	771
594	1129	768
595	1131	767
596	1133	765
597	1134	762
598	1136	760
599	1137	758
600	1139	756
601	1140	753
602	1141	751
603	1142	749
604	1144	747
605	1146	745
606	1148	743
607	1149	741
608	1150	738
609	1152	736
610	1153	734
611	1155	732
612	1156	730
613	1157	727
614	1159	725
615	1161	723
616	1162	721
617	1163	719
618	1165	717
619	1166	715
620	1168	712
621	1169	710
622	1170	708
623	1172	706
624	1174	704
625	1175	702
626	1177	700
627	1178	698
628	1180	696
629	1181	693
630	1182	691
631	1184	689
632	1185	687
633	1187	685
634	1189	683
635	1191	681
636	1192	679
637	1194	677
638	1195	675
639	1197	673
640	1198	671
641	1200	669
642	1201	667
643	1203	665
644	1205	663
645	1206	661
646	1208	659
647	1209	657
648	1211	654
649	1212	652
650	1213	650
651	1215	648
652	1216	646
653	1219	645
654	1220	643
655	1222	641
656	1223	638
657	1225	636
658	1226	634
659	1228	632
660	1229	630
661	1231	628
662	1233	627
663	1235	625
664	1236	622
665	1238	620
666	1239	618
667	1240	616
668	1242	614
669	1243	612
670	1244	610
671	1246	608
672	1248	606
673	1250	604
674	1251	602
675	1253	600
676	1254	598
677	1256	596
678	1257	594
679	1258	592
680	1260	590
681	1261	588
682	1264	586
683	1265	584
684	1266	582
685	1268	580
686	1269	578
687	1271	576
688	1272	574
689	1273	572
690	1275	570
691	1276	568
692	1279	566
693	1280	564
694	1282	562
695	1283	560
696	1285	558
697	1286	556
698	1287	554
699	1289	552
700	1290	550
701	1292	548
702	1294	546
703	1296	544
704	1297	543
705	1299	541
706	1301	539
707	1303	537
708	1305	535
709	1309	534
710	1313	533
711	1315	532
712	1316	530
713	1318	528
714	1319	526
715	1321	524
716	1324	522
717	1325	520
718	1327	518
719	1328	516
720	1330	514
721	1331	512
722	1333	510
723	1335	508
724	1336	506
725	1339	505
726	1340	503
727	1341	501
728	1343	499
729	1344	497
730	1346	495
731	1347	493
732	1349	491
733	1350	489
734	1351	487
735	1354	485
736	1355	483
737	1357	481
738	1358	479
739	1360	477
740	1361	475
741	1362	473
742	1364	471
